block_date,first_block_height,last_block_height
2025-01-02,33909551,33992520
2025-01-03,33992521,34075329
2025-01-04,34075330,34158334
2025-01-05,34158335,34242610
2025-01-06,34242611,34325430
2025-01-07,34325431,34403198
2025-01-08,34403199,34481677
2025-01-09,34481678,34560865
2025-01-10,34560866,34640621
2025-01-11,34640622,34721648
2025-01-12,34721649,34802919
2025-01-13,34802920,34882801
2025-01-14,34882802,34964660
2025-01-15,34964661,35046426
2025-01-16,35046427,35129353
2025-01-17,35129354,35209952
2025-01-18,35209953,35288907
2025-01-19,35288908,35366769
2025-01-20,35366770,35443138
2025-01-21,35443139,35515526
2025-01-22,35515527,35590839
2025-01-23,35590840,35672001
2025-01-24,35672002,35756986
2025-01-25,35756987,35844263
2025-01-26,35844264,35930250
2025-01-27,35930251,36013880
2025-01-28,36013881,36097312
2025-01-29,36097313,36180649
2025-01-30,36180650,36264031
2025-01-31,36264032,36347741
2025-02-01,36347742,36431890
2025-02-02,36431891,36513895
2025-02-03,36513896,36595215
2025-02-04,36595216,36675429
2025-02-05,36675430,36751710
2025-02-06,36751711,36827371
2025-02-07,36827372,36902964
2025-02-08,36902965,36979574
2025-02-09,36979575,37056393
2025-02-10,37056394,37132501
2025-02-11,37132502,37209322
2025-02-12,37209323,37284389
2025-02-13,37284390,37360030
2025-02-14,37360031,37436025
2025-02-15,37436026,37513365
2025-02-16,37513366,37590362
2025-02-17,37590363,37665785
2025-02-18,37665786,37741916
2025-02-19,37741917,37818870
2025-02-20,37818871,37898896
2025-02-21,37898897,37978370
2025-02-22,37978371,38058977
2025-02-23,38058978,38138936
2025-02-24,38138937,38215582
2025-02-25,38215583,38293251
2025-02-26,38293252,38371960
2025-02-27,38371961,38451180
2025-02-28,38451181,38528794
2025-03-01,38528795,38607779
2025-03-02,38607780,38686404
2025-03-03,38686405,38761763
2025-03-04,38761764,38834092
2025-03-05,38834093,38906992
2025-03-06,38906993,38981655
2025-03-07,38981656,39054805
2025-03-08,39054806,39128414
2025-03-09,39128415,39205427
2025-03-10,39205428,39281202
2025-03-11,39281203,39357065
2025-03-12,39357066,39435006
2025-03-13,39435007,39514117
2025-03-14,39514118,39596202
2025-03-15,39596203,39682758
2025-03-16,39682759,39769805
2025-03-17,39769806,39856510
2025-03-18,39856511,39944332
2025-03-19,39944333,40031216
2025-03-20,40031217,40118523
2025-03-21,40118524,40205524
2025-03-22,40205525,40293800
2025-03-23,40293801,40381897
2025-03-24,40381898,40468923
2025-03-25,40468924,40555834
2025-03-26,40555835,40643365
2025-03-27,40643366,40729570
2025-03-28,40729571,40816083
2025-03-29,40816084,40905730
2025-03-30,40905731,40994822
2025-03-31,40994823,41083501
2025-04-01,41083502,41172755
2025-04-02,41172756,41262342
2025-04-03,41262343,41350926
2025-04-04,41350927,41438882
2025-04-05,41438883,41529461
2025-04-06,41529462,41617680
2025-04-07,41617681,41703656
2025-04-08,41703657,41791062
2025-04-09,41791063,41877346
2025-04-10,41877347,41964810
2025-04-11,41964811,42052907
2025-04-12,42052908,42139244
2025-04-13,42139245,42226254
2025-04-14,42226255,42313396
2025-04-15,42313397,42402240
2025-04-16,42402241,42490755
2025-04-17,42490756,42580057
2025-04-18,42580058,42669687
2025-04-19,42669688,42759364
2025-04-20,42759365,42848936
2025-04-21,42848937,42938059
2025-04-22,42938060,43027014
2025-04-23,43027015,43114158
2025-04-24,43114159,43201099
2025-04-25,43201100,43288262
2025-04-26,43288263,43377050
2025-04-27,43377051,43465029
2025-04-28,43465030,43551346
2025-04-29,43551347,43638194
2025-04-30,43638195,43722431
2025-05-01,43722432,43807944
2025-05-02,43807945,43893036
2025-05-03,43893037,43977493
2025-05-04,43977494,44061201
2025-05-05,44061202,44145101
2025-05-06,44145102,44228380
2025-05-07,44228381,44311293
2025-05-08,44311294,44393949
2025-05-09,44393950,44479739
2025-05-10,44479740,44565586
2025-05-11,44565587,44651922
2025-05-12,44651923,44737735
2025-05-13,44737736,44823799
2025-05-14,44823800,44907881
2025-05-15,44907882,44992138
2025-05-16,44992139,45079471
2025-05-17,45079472,45165209
2025-05-18,45165210,45250695
2025-05-19,45250696,45334014
2025-05-20,45334015,45418229
2025-05-21,45418230,45504101
2025-05-22,45504102,45591146
2025-05-23,45591147,45675553
2025-05-24,45675554,45761076
2025-05-25,45761077,45845502
2025-05-26,45845503,45930972
2025-05-27,45930973,46016617
2025-05-28,46016618,46101819
2025-05-29,46101820,46187552
2025-05-30,46187553,46271731
2025-05-31,46271732,46355397
2025-06-01,46355398,46439677
2025-06-02,46439678,46522845
2025-06-03,46522846,46607002
2025-06-04,46607003,46690837
2025-06-05,46690838,46772818
2025-06-06,46772819,46853996
2025-06-07,46853997,46938902
2025-06-08,46938903,47026880
2025-06-09,47026881,47112862
2025-06-10,47112863,47200335
2025-06-11,47200336,47287792
2025-06-12,47287793,47373712
2025-06-13,47373713,47456684
2025-06-14,47456685,47540159
2025-06-15,47540160,47624007
2025-06-16,47624008,47707152
