validator_moniker,block_date,num_blocks_proposed,empty_block_pct,rolling_7day_avg_empty_block_pct
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-01,1067,0.52577319587628868,0.52577319587628868
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-02,1057,0.41532639545884581,0.47054979566756727
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-03,1012,0.13438735177865613,0.35849564770459685
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-04,1007,0.0,0.26887173577844764
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-05,992,0.0,0.21509738862275812
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-06,957,0.12016718913270637,0.1992756887077495
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-07,846,0.19030732860520094,0.19799449440738542
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-08,846,0.14775413711583923,0.14399177172732122
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-09,869,0.028768699654775604,0.088769243755311186
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-10,848,0.020047169811320754,0.072434932045691847
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-11,799,0.16270337922403003,0.095678271934839
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-12,806,0.0967741935483871,0.10950315672746572
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-13,786,0.035623409669211195,0.0974254739469664
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-14,774,0.062015503875968991,0.079098070414218985
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-15,821,0.36662606577344703,0.11036548879387724
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-16,826,0.4430992736077482,0.16955557078715905
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-17,782,0.1969309462915601,0.19482468171290751
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-18,786,0.026717557251908396,0.17539813571689014
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-19,810,0.017283950617283949,0.16404238672673255
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-20,779,0.011553273427471117,0.16060379583505541
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-21,780,0.014102564102564103,0.1537590901531404
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-22,831,0.021660649819494584,0.10447831644543293
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-23,827,0.30350665054413545,0.0845365131506311
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-24,797,0.035131744040150563,0.061422341400429736
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-25,828,0.086956521739130432,0.070027907755747174
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-26,847,0.023612750885478158,0.07093202207977492
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-27,847,0.097992916174734351,0.083280542472241093
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-28,840,0.275,0.12055160474330337
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-29,864,0.51273148148148151,0.19070458069501578
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-06-30,860,0.38255813953488371,0.20199765055083696
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-01,855,0.31929824561403508,0.24259286506139188
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-02,849,0.38280329799764429,0.2848566902411796
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-03,843,0.24673784104389088,0.31673170312095283
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-04,823,0.18712029161603888,0.32946418532685351
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-05,749,0.1041388518024032,0.30505544987005395
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-06,843,0.31672597864768681,0.2770546637509404
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-07,803,0.27023661270236615,0.26100873134629504
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-08,775,0.17290322580645162,0.24009515708806883
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-09,779,0.26829268292682928,0.22373649779223811
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-10,774,0.313953488372093,0.23333873312483844
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-11,779,0.26059050064184852,0.24383447727138266
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-12,764,0.24607329842931938,0.26411082678951353
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-13,782,0.37979539641943733,0.27312074361404931
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-14,787,0.37865311308767469,0.28860881509766484
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-15,746,0.16219839142091153,0.2870795530425877
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-16,744,0.13978494623655913,0.26872130494397767
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-17,744,0.16397849462365591,0.24729630583705806
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-18,762,0.23622047244094488,0.24381487323692896
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-19,754,0.21750663129973474,0.23973392078984546
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-20,762,0.38451443569553806,0.24040806925785985
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-21,755,0.32980132450331123,0.2334292423172365
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-22,730,0.22876712328767124,0.24293906115534503
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-23,800,0.2,0.25154121169297944
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-24,795,0.21383647798742139,0.25866378074494595
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-25,803,0.21917808219178081,0.25622915356649395
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-26,824,0.29854368932038833,0.26780587614087303
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-27,857,0.2893815635939323,0.25421546584064364
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-28,867,0.4855824682814302,0.27646991495180345
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-29,848,0.27830188679245282,0.28354630973820083
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-30,853,0.324736225087925,0.30136577046504726
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-07-31,843,0.29181494661921709,0.31250555169816091
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-01,834,0.15827338129496402,0.30380488014147283
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-02,845,0.14437869822485208,0.28178130998496764
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-03,858,0.25058275058275059,0.27623862241194169
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-04,849,0.23085983510011779,0.23984967481461134
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-05,801,0.023720349563046191,0.20348088378183896
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-06,823,0.074119076549210211,0.16767843399059398
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-07,806,0.089330024813895778,0.1387520165898338
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-08,811,0.14303329223181258,0.1365748610093836
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-09,819,0.17704517704517705,0.1412415008408586
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-10,856,0.40420560747663553,0.16318762325427072
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-11,845,0.29112426035502958,0.17179682686211528
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-12,822,0.16423357664233576,0.19187014501629951
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-13,811,0.23674475955610358,0.21510238544585569
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-14,793,0.26481715006305168,0.24017197476716368
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-15,765,0.23790849673202613,0.25372557541005131
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-16,766,0.29895561357702349,0.271141352057458
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-17,795,0.56729559748427671,0.29443992205854957
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-18,789,0.46007604562737642,0.31857589138317055
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-19,787,0.33545108005082591,0.34303553472724058
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-20,799,0.19274092615769711,0.33674927281318251
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-21,822,0.31630170316301703,0.3441042089703204
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-22,820,0.3597560975609756,0.36151100908874173
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-23,790,0.289873417721519,0.36021355253795539
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-24,803,0.34869240348692404,0.32898452482404789
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-25,808,0.36757425742574257,0.3157699836523859
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-26,817,0.33659730722154224,0.31593373039105965
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-27,819,0.34554334554334554,0.33776264744615231
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-28,825,0.40969696969696967,0.35110482837957407
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-29,857,0.54959159859976658,0.37822418567082994
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-30,824,0.56310679611650483,0.41725752544154221
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-08-31,864,0.72106481481481477,0.47045358420266947
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-01,855,0.60701754385964912,0.50465976797894185
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-02,848,0.44221698113207547,0.5197482928233037
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-03,841,0.56837098692033294,0.55158081302001616
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-04,820,0.4682926829268293,0.5599516291957104
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-05,826,0.46610169491525422,0.54802450009792292
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-06,808,0.42574257425742573,0.52840103983234021
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-07,844,0.523696682464455,0.50020559235371742
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-08,866,0.36836027713625868,0.46611169710751876
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-09,846,0.017730496453900711,0.40547077072492238
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-10,860,0.084883720930232553,0.33640116129776515
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-11,863,0.50637311703360366,0.34184122331301864
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-12,857,0.5355892648774796,0.351768019021908
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-13,847,0.55726092089728452,0.37055635425617356
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-14,850,0.6588235294117647,0.38986018953436063
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-15,839,0.60667461263408817,0.42390509460547915
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-16,831,0.47894103489771361,0.48979231438316667
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-17,829,0.25211097708082025,0.51368192240467925
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-18,823,0.22357229647630619,0.47328180518220814
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-19,797,0.23462986198243413,0.43028760476863021
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-20,797,0.10790464240903387,0.36609385069888012
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-21,841,0.0,0.27197620364005659
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-22,828,0.0024154589371980675,0.18565346739764374
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-23,843,0.014234875444839857,0.11926687319009034
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-24,831,0.037304452466907341,0.088580226816674212
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-25,845,0.049704142011834318,0.063741919036035363
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-26,910,0.068131868131868126,0.039956491343097367
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-27,966,0.40269151138716358,0.082068901197115893
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-28,975,0.40717948717948715,0.14023739936561405
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-29,975,0.0030769230769230769,0.14033189424271764
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-09-30,979,0.0010214504596527069,0.13844426210197661
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-10-01,989,0.0,0.13311505460670414
0258A9CCD7450187FC91FF315C3E4AB4ADAC3BA4,2024-10-02,985,0.017258883248730966,0.12848001764054651
